id,car_price_min,car_price_max,car_price_fee,fee_type_id
95,300,349.99,120,4
96,350,399.99,120,4
97,400,449.99,140,4
98,450,499.99,140,4
99,500,549.99,160,4
100,550,599.99,160,4
101,600,699.99,180,4
102,700,799.99,210,4
103,800,899.99,230,4
104,900,999.99,250,4
105,1000,1199.99,275,4
106,1200,1299.99,310,4
107,1300,1399.99,310,4
108,1400,1499.99,330,4
109,1500,1599.99,330,4
110,1600,1699.99,360,4
111,1700,1799.99,360,4
112,1800,1999.99,400,4
113,2000,2399.99,440,4
114,2400,2499.99,440,4
115,2500,2999.99,480,4
116,3000,3499.99,575,4
117,3500,3999.99,575,4
118,4000,4499.99,575,4
119,4500,4999.99,600,4
120,5000,5999.99,675,4
121,6000,7499.99,675,4
122,7500,7999.99,775,4
123,8000,8999.99,875,4
124,9000,9999.99,975,4
125,10000,100000000,0.1,4
126,0,49.99,25,5
127,50,99.99,45,5
128,100,199.99,80,5
129,200,299.99,130,5
130,300,349.99,138,5
131,350,399.99,145,5
132,400,449.99,175,5
133,450,499.99,185,5
134,500,549.99,205,5
135,550,599.99,210,5
136,600,699.99,240,5
137,700,799.99,270,5
138,800,899.99,295,5
139,900,999.99,320,5
140,1000,1199.99,375,5
141,1200,1299.99,395,5
142,1300,1399.99,410,5
143,1400,1499.99,430,5
144,1500,1599.99,445,5
145,1600,1699.99,465,5
146,1700,1799.99,485,5
147,1800,1999.99,510,5
148,2000,2399.99,535,5
149,2400,2499.99,570,5
150,2500,2999.99,610,5
151,3000,3499.99,655,5
152,3500,3999.99,705,5
153,4000,4499.99,725,5
154,4500,4999.99,750,5
155,5000,5499.99,775,5
156,5500,5999.99,800,5
157,6000,6499.99,825,5
158,6500,6999.99,845,5
159,7000,7499.99,880,5
160,7500,7999.99,900,5
161,8000,8499.99,925,5
162,8500,8999.99,945,5
163,9000,9999.99,945,5
164,10000,10499.99,1000,5
165,10500,10999.99,1000,5
166,11000,11499.99,1000,5
167,11500,11999.99,1000,5
168,12000,12499.99,1000,5
169,12500,14999.99,1000,5
170,15000,10000000,0.075,5
171,0,99.99,1,2
172,100,199.99,25,2
173,200,299.99,60,2
174,300,349.99,85,2
175,350,399.99,100,2
176,400,449.99,125,2
177,450,499.99,135,2
178,500,549.99,145,2
179,550,599.99,155,2
180,600,699.99,170,2
181,700,799.99,195,2
182,800,899.99,215,2
183,900,999.99,230,2
184,1000,1199.99,250,2
185,1200,1299.99,270,2
186,1300,1399.99,285,2
187,1400,1499.99,300,2
188,1500,1599.99,315,2
189,1600,1699.99,330,2
190,1700,1799.99,350,2
191,1800,1999.99,370,2
192,2000,2399.99,390,2
193,2400,2499.99,425,2
194,2500,2999.99,460,2
195,3000,3499.99,505,2
196,3500,3999.99,555,2
197,4000,4499.99,600,2
198,4500,4999.99,625,2
199,5000,5499.99,650,2
200,5500,5999.99,675,2
201,6000,6499.99,700,2
202,6500,6999.99,720,2
203,7000,7499.99,755,2
204,7500,7999.99,775,2
205,8000,8499.99,800,2
206,8500,9999.99,820,2
207,10000,11499.99,850,2
208,11500,11999.99,860,2
209,12000,12499.99,875,2
210,12500,14999.99,890,2
211,15000,1000000000,0.06,2
